source,target,weight
"Commerce, Science, and Transportation Committee",Foreign Affairs Committee,1
Agriculture Committee,Homeland Security and Governmental Affairs Committee,1
Affairs Committee,Ways and Means Committee,1
"Agriculture, Nutrition, and Forestry Committee",Natural Resources Committee,1
"Banking, Housing, and Urban Affairs Committee",Finance Committee,1
Finance Committee,Homeland Security Committee,1
Foreign Relations Committee,Homeland Security Committee,1
"Banking, Housing, and Urban Affairs Committee","Commerce, Science, and Transportation Committee",2
"Commerce, Science, and Transportation Committee",Environment and Public Works Committee,1
Indian Affairs Committee,Judiciary Committee,1
Environment and Public Works Committee,Judiciary Committee,1
Armed Services Committee,Homeland Security and Governmental Affairs Committee,3
Education and the Workforce Committee,Homeland Security and Governmental Affairs Committee,1
"Agriculture, Nutrition, and Forestry Committee",Energy and Natural Resources Committee,2
Homeland Security Committee,Intelligence (Select) Committee,2
,Budget Committee,1
Affairs Committee,Armed Services Committee,1
Affairs Committee,Budget Committee,1
Foreign Relations Committee,"Health, Education, Labor, and Pensions Committee",1
Environment and Public Works Committee,Homeland Security and Governmental Affairs Committee,1
"Agriculture, Nutrition, and Forestry Committee",Budget Committee,1
Energy and Natural Resources Committee,Homeland Security Committee,1
Judiciary Committee,Rules and Administration Committee,2
Finance Committee,Foreign Relations Committee,1
"Agriculture, Nutrition, and Forestry Committee",Rules and Administration Committee,1
Energy and Natural Resources Committee,Rules and Administration Committee,1
"Health, Education, Labor, and Pensions Committee",Rules and Administration Committee,1
Indian Affairs Committee,Rules and Administration Committee,1
Foreign Relations Committee,Rules and Administration Committee,1
Environment and Public Works Committee,Rules and Administration Committee,1
Budget Committee,Rules and Administration Committee,1
Armed Services Committee,Rules and Administration Committee,1
Finance Committee,Rules and Administration Committee,1
Rules and Administration Committee,Veterans,1
"Banking, Housing, and Urban Affairs Committee",Rules and Administration Committee,1
Homeland Security and Governmental Affairs Committee,Rules and Administration Committee,1
Aging (Special) Committee,Rules and Administration Committee,1
Intelligence (Select) Committee,Rules and Administration Committee,1
Rules and Administration Committee,Small Business and Entrepreneurship Committee,1
